"id","geoid","metro","region","lat","lon","year","oned_index","economy_index","education_index","equity_index","quality_of_life_index","transit_index","econ_exports","econ_gmp","econ_hightech","econ_kiemploy","econ_mhhinc","econ_pcpi","econ_pop2534","econ_povrt","econ_techpatents","econ_biztaxindex","econ_rdsharegdp","econ_vcpc","edu_pctbachhigher2534","edu_pctbachhigher","edu_ppstatebudget","edu_ppspending","edu_enrolled","edu_hsdiploma","edu_naep4math","edu_naep4read","edu_naep4sci","edu_naep8math","edu_naep8read","edu_naep8sci","edu_unemployednohs","equity_fbpop","equity_gini","equity_incshareq1","equity_incshareq2","equity_incshareq3","equity_incshareq4","equity_incshareq5","equity_incsharetop5","equity_medhhincblack","equity_medhhinchisp","equity_medhhincwhite","equity_medhhinctotal","equity_childpovrtblack","equity_childpovrthisp","equity_childpovrtwhite","equity_childpovrttotal","equity_homeownershipblack","equity_homeownershiphisp","equity_homeownershipwhite","equity_homeownershiptotal","qol_aqi","qol_homeownershiptotal","qol_popchange","qol_popwohealthins","qol_vcrimert","qol_vthourspc","qol_obese","qol_physicians","transit_hoursdelayedpc","transit_caralone","transit_novehicle","transit_statefunding","transit_bustrips","transit_bridgecondition"
11,11,"Columbus-Marion-Chillicothe, OH","Midwest",39.9622601,-83.0007065,2009,2.95,0.11,1.61,4.09,2.35,2.07,977071844.93,23380.93,0.4624,0.0388,47086.26,91032.42,0.0279,0.2097,0.1435,8.63,0.0165,272.43,0.2694,0.1415,5795.09,14019.91,0.0403,0.8989,186.24,312.28,166.74,318.11,471.92,60.80,0.0038,0.0484,0.44,0.0369,0.1065,0.1334,0.2461,0.4732,0.1925,34851.73,453.55,65590.69,51978.39,0.0871,0.0518,0.2161,0.1372,0.3709,0.6157,0.5632,0.3050,0.0178,0.3022,0.0047,0.1152,466.35,36.87,0.2641,360.54,12,0.5839,0.0018,151.63,0.1019,0.3095
12,12,"Dallas-Fort Worth, TX","Southeast",32.7801052,-96.8000082,2009,2.45,1.04,1.24,1.60,0.50,3.51,847215777.68,78234.36,0.0181,0.4695,19364.32,99709.63,0.0161,0.1239,0.0353,4.59,0.0565,118.59,0.1002,0.2182,3641.25,6379.76,0.1082,0.9972,91.09,327.84,137.13,492.29,133.21,407.81,0.0414,0.1193,0.27,0.0498,0.1047,0.1346,0.2396,0.5070,0.2252,15366.28,83483.44,17714.08,93755.63,0.0642,0.0287,0.1251,0.1066,0.3259,0.0017,0.2774,0.9964,0.9733,0.5560,0.0031,0.2176,322.08,29.63,0.4651,101.24,5,0.9399,0.0093,280.32,0.3288,0.4822
13,13,"Dayton-Springfield-Greenville, OH","Midwest",39.7589478,-84.1916069,2009,1.52,3.97,4.04,0.24,4.58,1.74,370787526.20,49623.52,0.3181,0.1388,38788.66,19577.17,0.0017,0.2020,0.0999,8.48,0.0548,349.85,0.1864,0.3429,9432.71,12495.50,0.1673,0.9325,196.38,274.49,225.49,74.03,278.60,155.89,0.0042,0.2034,0.12,0.0476,0.0859,0.1487,0.2244,0.4731,0.2158,10537.34,60791.69,92027.31,12326.22,0.0151,0.0722,0.1191,0.1189,0.8388,0.4461,0.4973,0.3109,0.2094,0.5652,0.0295,0.1240,666.44,24.73,0.4470,380.52,39,0.6064,0.0263,292.41,0.4058,0.3540
14,14,"Denver-Aurora-Boulder, CO","West",39.7391536,-104.9847034,2009,3.20,3.25,0.49,2.79,2.61,0.89,456894311.31,21850.57,0.4885,0.0097,95375.55,16111.61,0.0105,0.0077,0.1204,5.94,0.0625,115.48,0.2176,0.4465,4505.90,7680.67,0.1077,0.8813,206.46,80.54,238.69,475.82,239.82,443.79,0.0083,0.1669,0.06,0.0240,0.1081,0.1514,0.2394,0.4812,0.2283,98321.54,31129.30,6036.50,56239.61,0.0447,0.2169,0.1951,0.0984,0.7324,0.9120,0.6578,0.7664,0.2322,0.3647,0.0122,0.2307,340.21,38.94,0.4536,368.74,19,0.7665,0.0646,222.02,0.2578,0.0490
15,15,"Detroit-Warren-Flint, MI","Midwest",42.3486635,-83.0567375,2009,2.37,2.13,3.94,0.26,1.39,4.18,334696524.50,74999.54,0.0155,0.1748,97153.74,9302.85,0.0007,0.1897,0.1474,6.95,0.0052,93.01,0.3095,0.0724,5669.53,8159.99,0.2227,0.8690,335.11,445.22,489.54,170.83,280.63,51.26,0.0242,0.0277,0.00,0.0352,0.1042,0.1484,0.2383,0.5051,0.1925,52676.20,10148.99,77139.73,76461.91,0.2179,0.1824,0.0937,0.2205,0.9417,0.1918,0.6255,0.2795,0.0783,0.3490,0.0179,0.0332,499.22,40.42,0.2245,286.00,58,0.5576,0.0043,105.60,0.1248,0.2278
16,16,"Fresno-Madera, CA","Southwest",36.7294455,-119.70886061,2009,3.22,4.77,4.03,0.64,4.70,1.83,147512631.44,59949.76,0.4735,0.0553,55714.67,23928.41,0.0051,0.2439,0.0739,3.95,0.0518,144.54,0.3857,0.3651,9650.24,14969.11,0.0238,0.8899,419.76,182.34,148.53,92.90,6.00,36.14,0.0156,0.1191,0.40,0.0258,0.0829,0.1426,0.2390,0.4750,0.2169,11489.81,30580.72,32406.35,11246.58,0.1888,0.0426,0.1108,0.0683,0.9530,0.3451,0.0634,0.0415,0.9990,0.5372,0.0213,0.1609,241.23,9.92,0.2478,330.49,15,0.7119,0.0951,434.60,0.7380,0.1251
17,17,"Grand Rapids-Muskegon-Holland, MI","Midwest",42.9633599,-85.6680863,2009,4.50,3.67,2.52,2.18,1.16,3.32,373957230.43,87027.36,0.0524,0.0574,19293.92,46941.66,0.0068,0.1861,0.0382,4.69,0.0733,28.62,0.0107,0.2633,3809.38,9883.20,0.0622,0.8394,81.83,359.27,437.48,271.25,71.87,478.02,0.0403,0.2275,0.25,0.0403,0.0951,0.1614,0.2241,0.5107,0.1857,60301.08,5984.84,74003.72,56397.59,0.2069,0.2042,0.1679,0.0901,0.8787,0.7983,0.6939,0.4728,0.5761,0.2530,0.0097,0.0195,267.82,4.00,0.4302,391.29,23,0.6381,0.0503,422.82,0.0378,0.1089
18,18,"Greensboro--Winston-Salem--High Point, NC","Southeast",36.0726355,-79.7919754,2009,1.24,1.69,0.89,2.66,1.39,2.86,152893183.71,46731.86,0.3027,0.4947,95131.35,6199.58,0.0121,0.1860,0.1861,7.67,0.0360,432.46,0.0049,0.3765,6897.96,717.96,0.1850,0.9139,422.06,321.08,167.90,231.62,22.92,247.76,0.0146,0.2364,0.19,0.0380,0.0897,0.1586,0.2374,0.4902,0.1981,3531.99,13009.04,20451.59,42961.01,0.1564,0.1366,0.1956,0.1527,0.3215,0.4456,0.8921,0.6786,0.6152,0.8582,0.0102,0.0341,599.31,36.99,0.2914,192.82,25,0.7617,0.0927,368.90,0.3786,0.1674
19,19,"Greenville-Spartanburg-Anderson, SC","Southeast",34.8512316,-82.3985105,2009,3.15,2.11,0.01,1.24,3.13,1.93,304612658.17,24928.86,0.4120,0.1274,2097.88,65779.59,0.0274,0.1757,0.0117,9.03,0.0304,445.09,0.1321,0.1118,7142.78,865.59,0.0951,0.9014,304.70,331.84,49.84,255.00,380.21,371.66,0.0115,0.1110,0.29,0.0328,0.0979,0.1596,0.2433,0.4885,0.2227,47334.91,37561.57,28061.73,24804.40,0.2413,0.0701,0.1386,0.0918,0.7997,0.6622,0.9986,0.8698,0.3865,0.0543,0.0141,0.2166,661.29,33.07,0.4782,258.08,29,0.7654,0.0368,294.42,0.4280,0.1646
20,20,"Hartford-West Hartford-Willimantic, CT","Northeast",41.765599,-72.69058501,2009,1.75,3.58,3.96,0.81,3.66,1.16,1001890113.30,79978.65,0.4536,0.3683,96235.44,36769.67,0.0075,0.0617,0.1370,2.68,0.0609,185.48,0.0986,0.0932,3447.98,10808.67,0.0220,0.9942,55.60,166.40,254.93,21.70,90.71,460.01,0.0436,0.0587,0.38,0.0313,0.1009,0.1381,0.2417,0.4979,0.2070,69524.80,11756.40,22793.52,49335.97,0.1421,0.2275,0.2391,0.1306,0.3258,0.6188,0.5209,0.0208,0.0680,0.2953,0.0130,0.1669,90.55,37.13,0.1970,101.25,47,0.7736,0.0248,241.54,0.7336,0.0686
21,21,"Houston-Baytown-Huntsville, TX","Southeast",29.9519265,-95.54091698,2009,1.04,4.70,3.52,3.89,2.74,3.73,302656627.45,46027.71,0.2681,0.3124,21631.48,54768.27,0.0246,0.1587,0.0303,2.78,0.0320,196.33,0.1759,0.1691,5688.61,7805.88,0.1609,0.9081,132.76,229.91,350.16,425.36,268.72,466.40,0.0478,0.1464,0.26,0.0269,0.0870,0.1441,0.2447,0.4955,0.2104,70439.31,65453.58,44115.62,80247.72,0.1462,0.1460,0.0633,0.0498,0.5048,0.4529,0.2328,0.5576,0.3372,0.6165,0.0201,0.0844,222.85,35.64,0.0482,346.39,66,0.5309,0.0392,384.17,0.7965,0.3708
22,22,"Indianapolis-Anderson-Columbus, IN","Midwest",39.7683795,-86.1580447,2009,2.23,4.51,1.56,3.59,0.56,4.40,635813582.41,71808.90,0.4104,0.4080,19763.28,41840.04,0.0080,0.0981,0.0030,2.18,0.0569,60.53,0.1684,0.2307,13612.92,3801.90,0.1986,0.8416,152.38,38.82,265.41,21.20,115.31,85.02,0.0134,0.0336,0.47,0.0283,0.1083,0.1579,0.2235,0.5107,0.2169,86894.17,49390.74,74704.16,5747.49,0.0140,0.2488,0.0532,0.0165,0.3308,0.7011,0.3296,0.7815,0.6158,0.0859,0.0300,0.0847,532.86,2.92,0.1556,305.46,8,0.9738,0.0844,401.04,0.1748,0.0615
23,23,"Jacksonville, FL","Southeast",30.3321838,-81.655651,2009,0.88,4.90,3.93,2.11,3.22,0.07,629400014.60,34793.13,0.3314,0.2374,80445.16,20790.00,0.0374,0.0038,0.1572,8.91,0.0546,411.87,0.1396,0.3783,14142.31,5547.31,0.0149,0.8770,336.42,295.62,375.75,156.43,46.11,51.92,0.0472,0.0384,0.11,0.0343,0.0985,0.1496,0.2356,0.4966,0.1929,95785.48,84132.22,44411.21,10104.13,0.0352,0.1495,0.1780,0.1823,0.1817,0.0788,0.6440,0.9327,0.1611,0.7481,0.0014,0.2461,491.41,8.50,0.2745,160.49,69,0.6356,0.0691,287.56,0.2983,0.3255
24,24,"Kansas City-Overland Park-Kansas City, MO-KS","Midwest",39.0844687,-94.5630298,2009,2.86,1.36,2.41,4.61,3.26,2.41,875688404.50,3554.88,0.0028,0.4032,67519.40,17171.77,0.0352,0.2381,0.1625,4.88,0.0548,318.32,0.0001,0.3355,1620.34,78.39,0.0975,0.8921,227.99,4.95,438.01,443.79,289.59,293.11,0.0077,0.0201,0.40,0.0364,0.0919,0.1505,0.2531,0.5053,0.1882,62488.24,91234.01,7566.37,83140.43,0.1381,0.0668,0.0771,0.2154,0.3150,0.6921,0.8266,0.8703,0.8234,0.0509,0.0068,0.2157,192.81,8.27,0.3516,113.89,71,0.8073,0.0276,414.66,0.7783,0.3997
25,25,"Knoxville-Sevierville-La Follette, TN","Southeast",35.9603948,-83.9210261,2009,4.41,3.33,3.14,4.92,0.33,4.35,413632124.15,82720.88,0.2087,0.1082,27113.09,68121.06,0.0248,0.0343,0.1046,7.93,0.0523,266.81,0.0375,0.3618,2892.94,14159.17,0.1930,0.9032,24.21,240.81,241.40,42.41,306.57,67.93,0.0420,0.0074,0.14,0.0306,0.1037,0.1471,0.2358,0.4951,0.1836,21581.16,22126.66,75092.02,76170.52,0.2233,0.1256,0.1182,0.0626,0.8796,0.7760,0.3144,0.3482,0.3484,0.6615,0.0323,0.1805,460.24,24.79,0.2976,131.88,6,0.6260,0.0148,299.49,0.9949,0.4595
26,26,"Las Vegas-Paradise-Pahrump, NV","Southwest",36.145204,-115.1611806,2009,2.41,0.15,0.86,0.22,3.05,4.52,145090503.34,49803.35,0.2745,0.3034,11027.51,55733.05,0.0398,0.0286,0.1040,6.73,0.0083,192.91,0.3545,0.3882,2209.18,11676.45,0.0224,0.9664,82.37,218.56,112.86,1.79,300.66,437.66,0.0166,0.1771,0.22,0.0514,0.0897,0.1350,0.2409,0.4973,0.2013,20954.76,68717.22,32248.60,39580.10,0.0127,0.0006,0.1534,0.1223,0.2864,0.4750,0.7490,0.1379,0.1718,0.3546,0.0294,0.2193,465.73,39.39,0.4781,141.14,15,0.8536,0.0129,12.53,0.8923,0.1019
27,27,"Los Angeles-Long Beach-Riverside, CA","Southwest",34.0536781,-118.2427025,2009,3.08,1.28,4.55,2.69,3.65,2.38,791472414.46,42734.39,0.4187,0.4117,140.39,33589.54,0.0334,0.1469,0.1942,3.19,0.0042,444.30,0.1954,0.4308,13231.43,11649.79,0.0331,0.9892,467.04,277.91,182.46,421.64,346.04,300.17,0.0267,0.0097,0.29,0.0358,0.0989,0.1479,0.2415,0.5077,0.2298,73788.83,53819.53,55030.90,38968.90,0.1458,0.0506,0.1294,0.0459,0.4792,0.8215,0.2894,0.0269,0.1290,0.2308,0.0237,0.1311,139.52,37.94,0.1966,282.49,17,0.6748,0.0665,223.61,0.3848,0.1464
28,28,"Louisville-Jefferson County--Elizabethtown-Scottsburg, KY-IN","Southeast",38.2542376,-85.759407,2009,1.46,2.69,3.71,0.70,4.31,0.38,528396370.54,45793.87,0.4300,0.2006,81476.78,41900.67,0.0199,0.0846,0.0659,7.47,0.0175,369.72,0.0443,0.0241,5826.95,14871.96,0.0127,0.8096,9.78,441.30,209.74,356.84,204.67,28.07,0.0240,0.0854,0.25,0.0359,0.0952,0.1324,0.2298,0.4700,0.2158,52964.55,68614.73,14952.54,21453.90,0.1012,0.2060,0.0070,0.0427,0.1346,0.8924,0.2462,0.2153,0.7769,0.3790,0.0147,0.1222,552.84,11.25,0.1173,302.67,51,0.8312,0.0242,193.27,0.0337,0.2859
29,29,"Memphis, TN-MS-AR","Southeast",35.1490215,-90.0516285,2009,1.63,3.77,4.54,4.68,4.07,2.58,458218577.97,60832.59,0.1480,0.1178,36478.17,47507.77,0.0376,0.1702,0.0186,8.85,0.0662,370.75,0.3693,0.3891,3666.69,2664.02,0.1900,0.9035,439.42,384.77,124.43,356.66,3.91,467.08,0.0295,0.2406,0.24,0.0407,0.1065,0.1417,0.2304,0.5060,0.1829,54595.27,3488.02,38510.91,45922.64,0.2182,0.1283,0.1993,0.0811,0.8453,0.8204,0.7858,0.6355,0.9699,0.7768,0.0112,0.0088,682.86,18.45,0.0499,342.46,46,0.9281,0.0971,494.57,0.1062,0.0705
30,30,"Miami-Fort Lauderdale-Pompano Beach, FL","Southeast",25.7742658,-80.1936589,2009,1.89,3.70,4.52,3.99,0.83,4.89,476056195.28,46483.45,0.0018,0.3184,36121.54,19597.04,0.0373,0.0411,0.0408,8.20,0.0086,371.15,0.3953,0.0497,5608.42,2577.77,0.2284,0.8081,231.79,206.16,219.22,192.20,164.90,17.02,0.0269,0.0174,0.12,0.0207,0.1065,0.1432,0.2469,0.4976,0.2235,63054.62,16102.63,26629.52,44708.61,0.0523,0.0255,0.0230,0.0433,0.9611,0.9158,0.9666,0.9564,0.0281,0.6606,0.0226,0.0965,94.34,14.47,0.3227,332.74,62,0.8330,0.0490,375.85,0.6298,0.4202
31,31,"Milwaukee-Racine-Waukesha, WI","Midwest",43.0349931,-87.922497,2009,1.22,4.60,0.89,0.06,3.72,3.68,995297388.59,91166.22,0.0192,0.3412,11021.67,48698.52,0.0118,0.1114,0.1573,6.93,0.0344,305.28,0.3953,0.1393,2554.78,1911.52,0.2403,0.9099,123.45,357.02,297.46,487.08,181.31,128.49,0.0279,0.1815,0.48,0.0369,0.1086,0.1479,0.2245,0.5160,0.2020,77664.08,50153.08,12263.58,55924.35,0.1876,0.1869,0.0148,0.0380,0.6074,0.2814,0.5133,0.3580,0.1486,0.6877,0.0323,0.1502,273.41,3.70,0.4096,339.39,58,0.8683,0.0118,4.04,0.1848,0.0772
32,32,"Minneapolis-St. Paul-St. Cloud, MN-WI","Midwest",44.9772995,-93.2654692,2009,4.99,2.32,4.20,1.62,3.82,3.20,470746758.81,29284.51,0.2325,0.2590,78450.15,13457.25,0.0116,0.2357,0.1822,9.24,0.0591,12.46,0.1011,0.0700,7523.48,8811.07,0.1037,0.9052,135.36,345.98,148.76,196.99,389.18,39.62,0.0024,0.1773,0.38,0.0271,0.0933,0.1422,0.2378,0.4727,0.2122,7534.63,56234.72,77903.70,64278.84,0.2001,0.1251,0.0654,0.0883,0.3663,0.7220,0.7469,0.9394,0.6180,0.5510,0.0065,0.2261,110.13,19.79,0.3816,229.72,9,0.7605,0.0004,97.21,0.0245,0.1537
33,33,"Nashville-Davidson--Murfreesboro--Columbia, TN","Southeast",36.1622257,-86.7743419,2009,3.08,4.61,4.33,1.80,3.85,2.60,374461012.38,99603.36,0.4737,0.0819,89830.86,3424.12,0.0345,0.1160,0.0551,4.07,0.0332,40.91,0.0713,0.2440,9570.08,3364.30,0.0640,0.9488,324.39,354.57,292.01,85.96,348.79,490.66,0.0387,0.1626,0.07,0.0480,0.0911,0.1535,0.2576,0.4930,0.2295,89065.43,67658.82,50284.33,24290.03,0.0530,0.1714,0.0468,0.0558,0.1123,0.2763,0.3486,0.4911,0.3195,0.9430,0.0180,0.0892,695.00,35.44,0.1082,304.77,59,0.6150,0.0100,169.91,0.9933,0.0089
34,34,"New Orleans-Metairie-Bogalusa, LA","Southeast",29.9499323,-90.0701156,2009,2.95,0.79,1.94,2.23,4.16,2.34,186225405.38,31921.78,0.2469,0.3841,58101.37,14592.16,0.0094,0.1511,0.0869,7.44,0.0584,203.37,0.1964,0.0899,13540.71,13041.70,0.0409,0.9206,68.49,370.11,202.76,471.10,95.39,29.94,0.0329,0.1515,0.14,0.0370,0.0874,0.1436,0.2470,0.4711,0.1805,51445.15,1282.48,78950.27,76680.26,0.2314,0.0333,0.1191,0.0019,0.8915,0.0702,0.4481,0.8047,0.2989,0.6215,0.0095,0.1689,407.87,4.71,0.2560,260.62,61,0.9771,0.0231,383.32,0.3703,0.2710
35,35,"New York-Newark-Bridgeport, NY-NJ-CT-PA","Northeast",40.7305991,-73.9865812,2009,2.45,4.18,2.66,2.64,2.60,0.10,537753037.36,37826.48,0.4848,0.0474,41381.22,85430.52,0.0251,0.0469,0.0303,5.63,0.0333,0.76,0.1219,0.1158,2065.90,12871.95,0.2427,0.9799,54.49,204.10,419.94,396.70,188.95,390.85,0.0401,0.1781,0.27,0.0455,0.0938,0.1381,0.2240,0.5073,0.1980,26251.87,87612.35,66920.81,53222.01,0.1005,0.1506,0.1973,0.0927,0.5509,0.4980,0.8273,0.5517,0.3284,0.2907,0.0195,0.0392,318.78,18.04,0.1418,225.42,13,0.8481,0.0447,424.69,0.5184,0.3596
36,36,"Oklahoma City-Shawnee, OK","West",35.4707419,-97.5198806,2009,3.79,4.32,4.90,1.61,2.22,1.66,298956577.15,37102.11,0.2843,0.1698,6217.56,33070.20,0.0235,0.0236,0.1584,2.24,0.0341,459.63,0.1437,0.3444,5155.62,11024.42,0.1860,0.8022,45.50,395.27,475.83,140.61,212.94,151.55,0.0384,0.2444,0.21,0.0503,0.1040,0.1610,0.2293,0.5070,0.2120,96576.93,63663.20,73530.67,53479.55,0.0499,0.0720,0.0095,0.0834,0.5946,0.8938,0.3144,0.0985,0.8624,0.3575,0.0179,0.2421,54.84,20.39,0.1198,236.86,3,0.7870,0.0181,26.88,0.0927,0.3638
